id_imovel,nome,host_id,host_nome,bairro,latitude,longitude,tipo,preco,noites_minimas,numero_reviews,ultima_review,reviews_por_mes,hosts_qtd,disponibilidade,reviewss_ultimo_mes
462947,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 bath,2300508,Luana,Copacabana,-22.977,-43.18969,Entire home/apt,1311.7262280953748,3.0,1,2023-06-24,0.16,2,0,1
900709,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 bath,2649464,Lélla,Centro,-22.91589,-43.18846,Entire home/apt,549.5368888888889,3.0,0,,,1,364,0
681179,Home in Rio de Janeiro · 1 bedroom · 2 beds · 1 private bath,2916588,Murillo,Barra da Tijuca,-23.00522,-43.35159,Private room,1350.8451882845188,3.0,2,2019-10-07,0.01,1,0,0
1667766,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 bath,8831931,Luis Fernando,Barra da Tijuca,-23.00963,-43.35652,Private room,1350.8451882845188,5.0,0,,,1,0,0
2019418,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 shared bath,1125885,Adriana,Ipanema,-22.98467,-43.19652,Private room,1726.5436160579536,2.0,1,2019-01-01,0.02,4,0,0
2021042,Rental unit in Rio de Janeiro · 1 bedroom · 2 beds · 1 bath,10387941,Leila,Copacabana,-22.96693,-43.19187,Entire home/apt,1311.7262280953748,90.0,1,2014-01-05,0.01,2,0,0
2098587,Rental unit in Rio · 2 bedrooms · 1 bed · 1 bath,10703964,Melissa,Centro,-22.90376,-43.18159,Entire home/apt,549.5368888888889,3.0,0,,,1,0,0
2139220,Rental unit in Rio · 2 bedrooms · 3 beds · 3 baths,10916622,Alexandre,Barra da Tijuca,-22.99501,-43.38147,Entire home/apt,1350.8451882845188,3.0,2,2022-01-08,0.02,1,0,0
2162106,Home in Rio · 2 bedrooms · 4 beds · 2 baths,11032714,Tainá,Santa Teresa,-22.93295,-43.19742,Entire home/apt,748.8612132352941,1.0,0,,,1,0,0
2356477,Rental unit in Rio de Janeiro · Studio · 1 bed · 1 bath,9051582,Vanessa,Glória,-22.91971,-43.17478,Entire home/apt,980.5836575875486,3.0,2,2014-06-27,0.02,1,0,0
2440469,Home in Rio de Janeiro · 1 bedroom · 1 bed · 1 bath,11652759,Elzbieta,Santa Teresa,-22.92508,-43.18735,Private room,748.8612132352941,2.0,1,2015-02-18,0.01,2,0,0
2440627,Rental unit in Rio de Janeiro · 3 bedrooms · 3 beds · 2 baths,1473104,Elizabeth,Tijuca,-22.92494,-43.22339,Entire home/apt,815.5894495412844,4.0,1,2023-02-22,0.1,1,0,1
2419564,Rental unit in Rio · 2 bedrooms · 3 beds · 2.5 baths,12366161,Rosane,Leblon,-22.97942,-43.22147,Entire home/apt,1547.7930614729155,4.0,0,,,1,0,0
2545815,Condo in Rio · 3 bedrooms · 3 beds · 3.5 baths,2903257,Frederico,São Conrado,-22.99351,-43.25712,Entire home/apt,2487.0293255131965,365.0,0,,,1,0,0
2515926,Rental unit in Rio · 2 bedrooms · 3 beds · 2 baths,12878849,Helena,Cosme Velho,-22.93916,-43.20237,Entire home/apt,821.9382716049382,365.0,0,,,1,0,0
2595841,Rental unit in Rio · 1 bedroom · 1 bed · 1 bath,13291724,Luiz,Copacabana,-22.97321,-43.19235,Entire home/apt,1311.7262280953748,3.0,0,,,1,359,0
2674993,Rental unit in Rio · 1 bedroom · 1 bed · 1 bath,13695681,Denise,Santa Teresa,-22.91659,-43.19142,Entire home/apt,748.8612132352941,5.0,0,,,1,0,0
2747784,Condo in Rio de Janeiro · 3 bedrooms · 4 beds · 3.5 baths,14058069,Marco,Ipanema,-22.98555,-43.20909,Entire home/apt,1726.5436160579536,5.0,2,2020-01-05,0.02,1,0,0
2644143,Rental unit in Rio de Janeiro · 2 bedrooms · 3 beds · 2 baths,13498004,Fabio,Barra da Tijuca,-22.97374,-43.38439,Entire home/apt,1350.8451882845188,7.0,0,,,7,0,0
2935726,Rental unit in Rio · 2 bedrooms · 2 beds · 2 baths,2759276,Leonardo,Botafogo,-22.94744,-43.19057,Entire home/apt,768.3704453441295,3.0,0,,,1,0,0
3009305,Rental unit in Rio de Janeiro · 2 bedrooms · 3 beds · 2.5 baths,3404232,Jonas,Botafogo,-22.95347,-43.19497,Entire home/apt,768.3704453441295,2.0,0,,,1,0,0
3082819,Condo in Rio · 2 bedrooms · 3 beds · 2 baths,15673082,Renata,Ipanema,-22.98393,-43.20892,Entire home/apt,1726.5436160579536,4.0,0,,,1,0,0
3185866,Rental unit in Copacabana · 2 bedrooms · 2 beds · 2 baths,16151568,José Carlos,Copacabana,-22.97268,-43.19027,Entire home/apt,1311.7262280953748,5.0,2,2020-02-26,0.04,1,0,0
3048467,Rental unit in Rio · 2 bedrooms · 4 beds · 1 bath,15520216,Orlando,Copacabana,-22.96131,-43.17669,Entire home/apt,1311.7262280953748,5.0,1,2023-02-22,0.1,1,0,1
3049947,Rental unit in Rio · 3 bedrooms · 4 beds · 3 baths,15526723,Andre,Copacabana,-22.97413,-43.18617,Entire home/apt,1311.7262280953748,5.0,1,2017-01-03,0.01,1,0,0
3239381,Rental unit in Rio · 1 bedroom · 1 bed · 1 private bath,16390050,Ignacio,Recreio dos Bandeirantes,-23.02075,-43.48012,Private room,962.8882455124493,1.0,1,2022-09-10,0.06,1,0,0
3293572,Rental unit in Rio · 1 bedroom · 1 bed · 2 baths,16076498,Daisy,Copacabana,-22.97015,-43.18984,Entire home/apt,1311.7262280953748,2.0,1,2019-01-01,0.02,1,0,0
3621487,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 2 baths,11390380,Clarice,Jardim Botânico,-22.9655,-43.22044,Entire home/apt,1052.197969543147,2.0,2,2019-01-03,0.02,2,0,0
3659995,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 shared bath,12000002,Luciana,Santa Teresa,-22.91958,-43.18232,Private room,748.8612132352941,3.0,2,2020-03-02,0.02,2,0,0
4250213,Condo in Recreio dos Bandeirantes · 1 bedroom · 3 beds · 1 bath,16203836,Gizella,Recreio dos Bandeirantes,-23.03092,-43.47419,Entire home/apt,962.8882455124493,3.0,2,2022-11-15,0.13,1,0,0
4854025,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 shared bath,24971450,Thiago,Rio Comprido,-22.925016,-43.201073,Private room,553.3669724770642,2.0,1,2021-07-30,0.03,1,0,0
5083946,Rental unit in Rio de Janeiro · 2 bedrooms · 3 beds · 1 bath,26259326,Liliane Marques,Jacarepaguá,-22.96941,-43.39775,Entire home/apt,785.2956685499058,4.0,1,2019-09-30,0.02,1,0,0
5278558,Cottage in Rio de Janeiro · 3 bedrooms · 13 beds · 3.5 baths,9819895,João Pedro,Vargem Grande,-22.97087,-43.49481,Entire home/apt,932.8235294117648,1.0,2,2019-12-29,0.03,4,0,0
5820997,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 bath,30210745,Maurício E Natália,Grajaú,-22.920072,-43.269055,Entire home/apt,374.21153846153845,3.0,2,2023-02-21,0.17,1,0,2
6039756,Condo in Rio de Janeiro · 1 bedroom · 1 bed · 1 private bath,5014163,Anderson,Barra da Tijuca,-23.00906,-43.3227,Private room,1350.8451882845188,2.0,2,2017-09-24,0.02,2,0,0
7037520,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1.5 shared baths,36897738,Bianca,Vila Isabel,-22.9203,-43.23781,Private room,617.8455882352941,1.0,0,,,2,0,0
6553927,Rental unit in Flamengo · 1 bedroom · 1 bed · 1 bath,34277283,Leandro,Flamengo,-22.93904,-43.17524,Entire home/apt,678.5729442970822,2.0,0,,,1,178,0
6226336,Home in Rio de Janeiro · New · 1 bedroom · 1 bed · 1 bath,10364397,Auciomar,Centro,-22.90787,-43.17318,Private room,549.5368888888889,15.0,0,,,1,263,0
7272073,Rental unit in Rio de Janeiro · Studio · 3 beds · 1 bath,38074964,Rogerio,Flamengo,-22.93909,-43.17449,Entire home/apt,678.5729442970822,3.0,1,2016-02-11,0.01,1,0,0
7323556,Rental unit in Rio de Janeiro · 2 bedrooms · 3 beds · 1 bath,38364611,Maria,Copacabana,-22.97712,-43.18855,Entire home/apt,1311.7262280953748,3.0,2,2016-01-05,0.02,4,0,0
7746353,Home in Rio de Janeiro · 1 bedroom · 11 beds · 3 shared baths,26595931,Cesar,Recreio dos Bandeirantes,-23.03519,-43.49321,Shared room,962.8882455124493,1.0,0,,,1,0,0
7752478,Rental unit in Rio de Janeiro · 2 bedrooms · 3 beds · 2 baths,40736248,Ricardo,Recreio dos Bandeirantes,-23.0186,-43.48293,Entire home/apt,962.8882455124493,2.0,1,2018-08-26,0.02,1,0,0
8308045,Rental unit in Rio de Janeiro · 2 bedrooms · 3 beds · 2.5 baths,10250005,Karen,Jardim Botânico,-22.95882,-43.20962,Entire home/apt,1052.197969543147,4.0,1,2023-01-02,0.08,2,0,1
8106358,Rental unit in Tijuca · 1 bedroom · 1 bed · 1 bath,41768542,Ana Luiza,Vila Isabel,-22.91615,-43.24107,Entire home/apt,617.8455882352941,1.0,2,2022-03-14,0.09,1,0,0
8201744,Rental unit in Rio de Janeiro · 2 bedrooms · 2 beds · 1 bath,18197390,Magaly,Moneró,-22.79523,-43.19904,Entire home/apt,156.0,3.0,0,,,1,0,0
8461379,Rental unit in Rio de Janeiro · 2 bedrooms · 2 beds · 2 baths,44541116,Aurora,Leblon,-22.9809,-43.22252,Entire home/apt,1547.7930614729155,5.0,2,2020-02-16,0.03,1,0,0
8289138,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 bath,7236262,Jô,Copacabana,-22.96576,-43.18836,Entire home/apt,1311.7262280953748,3.0,1,2020-02-26,0.02,1,0,0
8920691,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 bath,46650438,Boris,Centro,-22.90965,-43.18374,Entire home/apt,549.5368888888889,20.0,0,,,1,0,0
8565381,Rental unit in Rio de Janeiro · 2 bedrooms · 2 beds · 2 baths,10823485,Vania,Urca,-22.94688,-43.16292,Entire home/apt,884.3484848484849,6.0,0,,,7,0,0
9313604,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 bath,9270905,Carlos,Centro,-22.90958,-43.18718,Entire home/apt,549.5368888888889,1.0,0,,,37,0,0
9337735,Bed and breakfast in Rio de Janeiro · 1 bedroom · 1 bed · 1 bath,48463017,Lidia Maria,Barra da Tijuca,-23.00291,-43.30839,Private room,1350.8451882845188,1.0,0,,,4,0,0
9214195,Rental unit in Rio de Janeiro · 3 bedrooms · 5 beds · 2 baths,25342657,Camila,Jacarepaguá,-22.96871,-43.42544,Entire home/apt,785.2956685499058,1.0,0,,,1,0,0
9230537,Rental unit in Rio de Janeiro · 2 bedrooms · 2 beds · 2 baths,15411058,Ana,Ipanema,-22.98168,-43.20512,Entire home/apt,1726.5436160579536,1.0,2,2017-01-02,0.02,1,0,0
9873078,Rental unit in Rio de Janeiro · 1 bedroom · 1 bed · 1 private bath,24231115,Paloma,Copacabana,-22.96958,-43.18292,Private room,1311.7262280953748,7.0,2,2016-02-14,0.02,4,0,0
10034558,Condo in Rio de Janeiro · 3 bedrooms · 5 beds · 2.5 shared baths,51513458,Lucas,Botafogo,-22.95614,-43.17869,Private room,768.3704453441295,5.0,2,2022-01-03,0.02,2,0,0
10231367,Rental unit in Ipanema · 4 bedrooms · 5 beds · 3.5 baths,22713969,Maria,Ipanema,-22.98457,-43.20084,Entire home/apt,1726.5436160579536,7.0,0,,,38,0,0
10267536,Rental unit in Rio de Janeiro · 2 bedrooms · 3 beds · 3 baths,22713969,Maria,Leblon,-22.98542,-43.23164,Entire home/apt,1547.7930614729155,1.0,0,,,38,0,0
10283474,Earthen home in Rio de Janeiro · 5 bedrooms · 91 beds · 6 baths,13384955,Sergio,Guaratiba,-22.99421,-43.54186,Entire home/apt,897.3968253968254,2.0,0,,,2,0,0
9964794,Rental unit in Rio de Janeiro · 4.91 · 1 bedroom · 1 bed · 1 bath,7494141,Luciana,Botafogo,-22.94907,-43.18723,Entire home/apt,768.3704453441295,2.0,35,2017-09-24,0.36,1,0,0
10009999,Rental unit in Rio de Janeiro · 1 bedroom · 2 beds · 1 bath,1282196,Ynaie,Jardim Botânico,-22.96536,-43.23053,Entire home/apt,1052.197969543147,2.0,2,2020-02-27,0.04,1,0,0
